config,bit_size,type,VIT_FIRST,VIT_MIDDLE,VIT_LAST,QFORMER_FIRST,QFORMER_MIDDLE,QFORMER_LAST,LLM_FIRST,LLM_MIDDLE,LLM_LAST,METEOR,CIDEr
894,5,MLP,0,0,0,0,1,1,0,0,0,0.2785208443350772,1.2852764152502318
678,6,ATTENTION,1,1,1,1,1,1,1,1,1,0.26693491760570304,1.195565473292705
1011,5,ATTENTION,1,1,1,1,1,1,1,0,1,0.2471998820019974,1.0730299176968154
1286,4,ATTENTION,1,1,1,1,1,1,1,1,0,0.06962898937901577,0.031692131417132015
108,16,ATTENTION,1,1,0,1,1,1,1,1,1,0.27851928376294693,1.2852131063914425
375,8,ATTENTION,1,0,0,1,1,1,1,1,1,0.2784052867414102,1.276873452003259
1480,3,MLP,1,1,1,1,1,1,0,1,1,0.008857233869900146,0.00729971855051795
373,8,ATTENTION,0,0,0,1,1,1,0,0,0,0.27863146981919407,1.282046248444813
143,16,ATTENTION,1,1,1,1,0,1,1,1,1,0.27851928376294693,1.2852131063914425
825,6,BOTH,1,1,1,1,1,1,1,0,1,0.2156725598419784,0.8801352722744639
1319,4,BOTH,1,1,0,0,0,0,1,1,1,0.0,0.0
1339,4,BOTH,0,0,0,1,0,0,0,0,0,0.2791787143858506,1.287763123169591
1298,4,ATTENTION,1,1,1,1,1,1,1,1,1,0.06962898937901577,0.031692131417132015
1283,4,ATTENTION,1,1,1,0,0,0,0,0,1,0.0720643969292513,0.03411371244130119
222,16,BOTH,0,0,0,1,0,0,1,1,1,0.2785208443350772,1.2852764152502318
583,6,MLP,0,1,1,0,0,0,1,1,1,0.24472238908440105,1.0702811845559312
1159,4,MLP,1,1,1,0,0,1,0,0,0,0.0,0.0
1077,5,BOTH,1,1,1,0,1,1,1,1,1,0.01723000723030271,0.0005940399105334196
1340,4,BOTH,1,1,1,0,1,0,1,1,1,0.0,0.0
221,16,BOTH,1,1,1,1,0,0,0,0,0,0.27851928376294693,1.2852131063914425
1462,3,MLP,0,0,0,1,1,1,1,0,0,0.0,0.0
419,8,ATTENTION,1,1,1,1,1,0,0,0,0,0.277993415987267,1.2766317205629334
1273,4,ATTENTION,0,0,0,1,1,1,0,0,0,0.2797308291964011,1.285463449470939
1032,5,BOTH,0,1,0,0,0,0,1,1,1,0.044043055096547185,0.015892860399717244
1446,3,MLP,1,1,1,1,0,1,0,0,0,0.0,0.0
1342,4,BOTH,0,0,0,0,1,0,1,1,1,0.0024560855607047485,0.0013053648135387475
1013,5,ATTENTION,0,0,0,1,1,1,1,0,1,0.2776623289642982,1.2825037584404828
1345,4,BOTH,1,1,1,0,0,1,0,0,0,0.0,0.0
1067,5,BOTH,0,0,0,0,0,1,1,1,1,0.15479000363197862,0.20416473795255247
760,6,BOTH,1,1,0,1,1,1,0,0,0,0.2466103654935305,1.0842837981009583
281,8,MLP,0,0,0,0,0,0,1,1,1,0.2782263035104425,1.27793685233323
535,8,BOTH,1,1,1,0,0,0,0,1,0,0.2753788095945758,1.2678232187861334
325,8,MLP,1,1,1,1,1,0,1,1,1,0.2759322079683527,1.2689976569023262
810,6,BOTH,1,1,1,0,0,0,1,0,0,0.22083264698469576,0.9098582328755006
357,8,MLP,1,1,1,0,0,0,1,1,0,0.2782155446646343,1.289882383700871
908,5,MLP,0,0,0,1,1,1,0,1,0,0.27437073085235597,1.2586827080323735
311,8,MLP,1,1,1,0,0,0,0,0,0,0.2785175866119606,1.2827405384338042
839,5,MLP,0,0,0,0,0,0,1,1,1,0.15421579093383528,0.2041313520068872
9,16,MLP,0,1,0,0,0,0,1,1,1,0.2785208443350772,1.2852764152502318
1233,4,ATTENTION,0,1,1,1,1,1,0,0,0,0.18967089599239617,0.6017134596123491
1252,4,ATTENTION,1,1,1,0,0,1,0,0,0,0.0713454527053907,0.03359520847907403
1214,4,ATTENTION,1,0,0,0,0,0,1,1,1,0.22001159655966582,0.8906853208364068
1497,3,ATTENTION,0,1,0,0,0,0,1,1,1,0.05589755348151429,0.017219259208095854
1244,4,ATTENTION,1,1,1,1,0,0,0,0,0,0.07252434050568177,0.03379669872826816
62,16,MLP,1,1,1,1,1,1,0,0,0,0.27851928376294693,1.2852131063914425
269,16,BOTH,0,0,0,1,1,1,1,0,1,0.2785271331383665,1.2852207375047249
177,16,ATTENTION,0,0,0,0,0,0,1,0,1,0.2785208443350772,1.2852764152502318
1144,4,MLP,1,1,1,1,1,1,0,0,0,0.0,0.0
1038,5,BOTH,1,1,0,1,1,1,1,1,1,0.027090543859866246,0.0024521732267133974
295,8,MLP,1,1,0,1,1,1,0,0,0,0.27702785974979655,1.2817934998921003
1129,4,MLP,0,0,1,0,0,0,1,1,1,0.0,0.0
32,16,MLP,1,1,1,0,0,0,0,0,0,0.27851928376294693,1.2852131063914425
16,16,MLP,1,1,0,1,1,1,0,0,0,0.27851928376294693,1.2852131063914425
75,16,MLP,0,0,0,1,1,1,0,0,1,0.2785208443350772,1.2852764152502318
