vit_bits,qformer_bits,llm_bits,METEOR,CIDEr,model_size
2,2,2,0.029884481134349352,0.000790216892799398,15727220992
2,2,3,0.14985661382475526,0.3892738924855776,18244540672
2,2,4,0.1837345249958186,0.5443518230890101,20761860352
2,2,5,0.1886596236812807,0.577806426477473,23279180032
2,2,6,0.19215876871645188,0.5940621735445684,25796499712
2,2,8,0.1935281864323662,0.6015116071758554,30831139072
2,2,16,0.19318000730820825,0.6016201760679405,50969696512
2,3,2,0.02488881296409678,0.00174091879923525,15832311040
2,3,3,0.1536184976125826,0.41995583557884075,18349630720
2,3,4,0.19254725268146605,0.6413107364012529,20866950400
2,3,5,0.1971479719875085,0.6644740132743288,23384270080
2,3,6,0.2053801049843051,0.7005174822474439,25901589760
2,3,8,0.2062730261379436,0.7060009487248382,30936229120
2,3,16,0.20829024037502017,0.7114414564035497,51074786560
2,4,2,0.029512816604721017,0.0015242110097923745,15937401088
2,4,3,0.15372660118410247,0.42258480275870286,18454720768
2,4,4,0.19648368648501646,0.6677658754857135,20972040448
2,4,5,0.19983649487376928,0.6794140389055991,23489360128
2,4,6,0.20676989347449634,0.7158724879010914,26006679808
2,4,8,0.2085390794369036,0.7239213616454379,31041319168
2,4,16,0.2096374717583629,0.7267086690055766,51179876608
2,5,2,0.028747258227322558,0.0015383744706068737,16042491136
2,5,3,0.156545753956854,0.43421880970831933,18559810816
2,5,4,0.196610560416409,0.6643003856622003,21077130496
2,5,5,0.20181309651240506,0.6880985619516059,23594450176
2,5,6,0.20881490132915903,0.7235377941797142,26111769856
2,5,8,0.21110624326329927,0.7375435379366277,31146409216
2,5,16,0.21195715932298625,0.7375809567131982,51284966656
2,6,2,0.03063110391338109,0.0020275794823421942,16147581184
2,6,3,0.15356247751795993,0.424523049292371,18664900864
2,6,4,0.19758305780734386,0.6760507495669246,21182220544
2,6,5,0.2007745793399482,0.6885736800597454,23699540224
2,6,6,0.20849863145595418,0.7263028445719076,26216859904
2,6,8,0.2098694607988712,0.7315217945479447,31251499264
2,6,16,0.21048954312798976,0.7339511837416856,51390056704
2,8,2,0.02943548481173078,0.001666631696574353,16357761280
2,8,3,0.15683632111521817,0.43771168324000265,18875080960
2,8,4,0.19715300706681188,0.6719258108942063,21392400640
2,8,5,0.20108814859611662,0.6872950083608445,23909720320
2,8,6,0.20858989521160368,0.7246423668329751,26427040000
2,8,8,0.21055393327787206,0.7350918293335355,31461679360
2,8,16,0.21111491508569893,0.7362575171829725,51600236800
2,16,2,0.02950987712164611,0.0016837862661927283,17198481664
2,16,3,0.15691158896246368,0.43627960511248964,19715801344
