vit_bits,qformer_bits,txt_r1,txt_r5,txt_r10,txt_r_mean,img_r1,img_r5,img_r10,img_r_mean,r_mean,agg_metrics,model_size
2,2,67.5,83.0,88.1,79.53333333333333,61.32,81.88,86.72,76.64,78.08666666666667,79.53333333333333,3103760704
2,3,83.8,95.7,97.6,92.36666666666667,70.5,89.62,93.62,84.58,88.47333333333333,92.36666666666667,3265519936
2,4,84.5,95.4,97.4,92.43333333333334,71.22,89.9,93.62,84.91333333333334,88.67333333333335,92.43333333333334,3427279168
2,5,83.9,95.6,97.5,92.33333333333333,71.42,89.74,93.86,85.00666666666666,88.66999999999999,92.33333333333333,3589038400
2,6,83.7,95.3,97.4,92.13333333333333,71.1,89.82,93.7,84.87333333333333,88.50333333333333,92.13333333333333,3750797632
2,8,84.0,95.1,97.3,92.13333333333333,71.2,89.94,93.66,84.93333333333332,88.53333333333333,92.13333333333333,4074316096
2,16,84.1,95.1,97.4,92.2,71.24,89.98,93.68,84.96666666666667,88.58333333333334,92.2,5368389952
3,2,87.8,94.2,95.5,92.5,82.1,94.94,96.64,91.22666666666667,91.86333333333334,92.5,4088297920
3,3,97.2,100.0,100.0,99.06666666666666,88.54,98.18,99.02,95.24666666666667,97.15666666666667,99.06666666666666,4250057152
3,4,97.5,100.0,100.0,99.16666666666667,88.52,97.88,99.06,95.15333333333332,97.16,99.16666666666667,4411816384
3,5,97.1,100.0,100.0,99.03333333333335,88.76,97.8,98.98,95.18,97.10666666666668,99.03333333333335,4573575616
3,6,97.3,100.0,100.0,99.10000000000001,88.82,97.88,98.92,95.20666666666666,97.15333333333334,99.10000000000001,4735334848
3,8,97.4,100.0,100.0,99.13333333333333,88.62,97.84,98.9,95.12,97.12666666666667,99.13333333333333,5058853312
3,16,97.4,100.0,100.0,99.13333333333333,88.68,97.86,98.92,95.15333333333335,97.14333333333335,99.13333333333333,6352927168
4,2,87.4,94.7,95.5,92.53333333333335,83.32,95.46,96.88,91.88666666666666,92.21000000000001,92.53333333333335,5072835136
4,3,97.6,100.0,100.0,99.2,89.3,98.28,99.06,95.54666666666667,97.37333333333333,99.2,5234594368
4,4,97.6,100.0,100.0,99.2,89.68,98.22,99.08,95.66000000000001,97.43,99.2,5396353600
4,5,97.3,100.0,100.0,99.10000000000001,89.5,98.22,98.98,95.56666666666666,97.33333333333334,99.10000000000001,5558112832
4,6,97.4,100.0,100.0,99.13333333333333,89.6,98.26,99.04,95.63333333333334,97.38333333333333,99.13333333333333,5719872064
