vit_bits,qformer_bits,llm_bits,cider,meteor
3,5,6,1.1877800395137463,0.2697969766290725
16,8,4,0.8838120957889313,0.21889928539996825
2,7,8,0.007928199984104236,0.03466730838862358
6,2,7,1.087525654099781,0.2531266441008886
8,8,7,1.1984314708469745,0.2720754059114277
8,2,6,1.0738888291991668,0.2527580534386101
8,3,8,1.1735158569026929,0.26255756966449534
16,4,6,1.1813909947229932,0.26727842763008247
6,16,5,1.1438827485991472,0.2538414576307057
8,5,7,1.1870970556751406,0.26641106860138364
4,8,3,0.15903399192815817,0.07070990291008855
6,5,3,0.1767723755618828,0.08036671322334281
8,8,16,1.2506597043638663,0.2741317897100238
4,6,4,0.9689641119868221,0.23794637686488623
2,8,7,0.008614481831702362,0.037219837681424714
8,8,4,0.9514618233018948,0.22909836303933714
4,16,6,1.2427731808191953,0.2742908495873926
7,2,8,1.084270927624952,0.2495957964699268
16,3,16,1.2117156509744598,0.2641382719366991
2,6,3,0.0019383550169702396,0.013157651810560887
3,4,6,1.169094337541494,0.25908517162403
16,2,4,0.882084260463904,0.22015443754563147
3,8,7,1.119106598440014,0.256775792367136
3,5,8,1.1016627972550836,0.2584998184627469
5,6,16,1.2513308224676296,0.2717228744886364
16,8,6,1.2494692702192391,0.2739511507976573
4,6,7,1.1906590587348784,0.27138915445535805
8,7,8,1.290008701862969,0.2828159543957243
7,7,6,1.2348591428320188,0.2745186892085989
16,2,3,0.1571274152390572,0.07429598306635979
8,16,7,1.2164352423636062,0.2722565233646085
2,4,7,0.0023662530900511883,0.018317311015308098
2,6,4,0.005429956809109656,0.032345558098709135
5,2,16,1.0338461965377355,0.24751569232247275
6,4,7,1.246668454565147,0.2782082158522669
7,16,4,1.0004328914382348,0.23740341112045643
4,2,8,1.0663395553619195,0.24799545279602297
2,8,16,0.004664104168327625,0.03585344215679683
8,5,8,1.211995555056387,0.27010599559125353
6,4,6,1.2243791050481736,0.2704254526503866
16,8,8,1.157881699329323,0.26056903604484866
16,5,8,1.2342251900207906,0.2761238899905744
5,5,6,1.2350794722867804,0.27321863991640843
8,5,6,1.2543173811656039,0.27774494918647274
4,6,5,1.2362160577748775,0.2711945995333918
6,16,16,1.228346028974431,0.27136576101026205
4,4,16,1.191515824193017,0.26317899647279325
5,4,4,0.915899160424718,0.2211305607068668
3,16,4,1.0095257799776172,0.2376183097975369
8,7,7,1.1995434091534587,0.26789380896419895
16,5,5,1.2571947982408829,0.27024335483234735
8,4,5,1.1448803520482245,0.2613700524241101
3,4,5,1.0993993491699223,0.25532552616379695
2,2,16,0.0020890877629372064,0.00908907033121121
5,3,4,0.894614386423719,0.21864043287878776
6,6,3,0.21746372090501148,0.08846705447990352
8,6,6,1.200444966874689,0.26852241145223993
16,5,6,1.2085300720707322,0.2673536775181908
2,3,6,0.007229579885681307,0.030361953596385705
16,6,6,1.1974495478377032,0.27124836659580337
6,5,4,1.0213632068025982,0.24104669988456787
8,4,6,1.2116104186721062,0.2688828798826286
16,2,16,1.0887634700014392,0.25761023457139437
2,2,3,0.0014981143422107602,0.010150994340254658
5,2,6,1.0850514208988504,0.2543048294389661
6,7,7,1.2314925272857467,0.27098249873072944
16,3,3,0.17160407120520624,0.06714847075276129
7,2,3,0.13428326352545958,0.06785321521587949
3,2,7,1.001086957572305,0.24082006763836836
7,4,3,0.19338128385808584,0.08629641339736052
5,5,16,1.2442057677915968,0.2775924477351711
2,3,5,0.0051986390899480366,0.02375874314954625
2,16,8,0.012421677397893443,0.037276469571412695
2,5,7,0.0055000025982668635,0.03133020714798799
7,3,3,0.15474223546649313,0.06799735482057402
8,6,16,1.2363214391313964,0.26951027348712653
3,3,3,0.2404521287537404,0.09007552714969808
2,2,4,0.000763290792521487,0.008834068628508369
5,3,16,1.199261667260656,0.27486769294331476
3,7,8,1.158481714753464,0.2659037308448395
7,3,6,1.24489362857649,0.27654606671343146
8,3,6,1.2431371123255819,0.27295661283739875
5,7,8,1.281644197189058,0.2808078047226223
