config,bit_size,type,VIT_FIRST,VIT_MIDDLE,VIT_LAST,QFORMER_FIRST,QFORMER_MIDDLE,QFORMER_LAST,LLM_FIRST,LLM_MIDDLE,LLM_LAST,METEOR,CIDEr
1038,5,BOTH,1,1,0,1,1,1,1,1,1,0.027090543859866246,0.0024521732267133974
715,6,ATTENTION,0,0,0,1,1,1,0,0,0,0.27864433211692125,1.2844142984448899
61,16,MLP,0,0,0,1,1,1,0,0,0,0.2785208443350772,1.2852764152502318
618,6,MLP,0,0,0,1,1,1,1,1,1,0.24869652201794684,1.1075143853450542
448,8,ATTENTION,0,0,0,0,0,0,0,0,1,0.2785208443350772,1.2852764152502318
496,8,BOTH,1,1,1,0,0,0,1,1,1,0.27472194569104263,1.2682233929175837
506,8,BOTH,0,0,0,0,1,0,0,0,0,0.2786918902321742,1.2866667145005517
603,6,MLP,0,0,0,0,0,1,0,0,0,0.2785208443350772,1.2852764152502318
472,8,BOTH,0,1,0,1,1,1,1,1,1,0.2776646600198522,1.2851705169600975
885,5,MLP,0,0,0,1,1,0,1,1,1,0.15421579093383528,0.2041313520068872
722,6,ATTENTION,0,0,0,1,1,1,0,1,0,0.27864433211692125,1.2844142984448899
56,16,MLP,0,0,0,0,1,1,1,1,1,0.2785208443350772,1.2852764152502318
107,16,ATTENTION,0,0,1,0,0,0,0,0,0,0.2785208443350772,1.2852764152502318
661,6,ATTENTION,0,1,0,0,0,0,0,0,0,0.27826813793665484,1.284306905324892
890,5,MLP,0,0,0,1,0,1,0,0,0,0.2785208443350772,1.2852764152502318
906,5,MLP,1,1,1,1,1,1,0,1,0,0.09887386299897492,0.08498850615997862
505,8,BOTH,0,0,0,0,1,0,1,1,1,0.27813398692091595,1.277997524577381
544,8,BOTH,0,0,0,1,1,1,1,1,0,0.27868113751772783,1.2890080011561478
557,8,BOTH,0,0,0,0,0,0,1,1,1,0.2782263035104425,1.27793685233323
419,8,ATTENTION,1,1,1,1,1,0,0,0,0,0.277993415987267,1.2766317205629334
352,8,MLP,1,1,1,1,1,1,0,0,1,0.276065188349591,1.2674684202951911
972,5,ATTENTION,1,1,1,0,0,1,1,1,1,0.2467462912364597,1.069393423330704
75,16,MLP,0,0,0,1,1,1,0,0,1,0.2785208443350772,1.2852764152502318
804,6,BOTH,0,0,0,1,1,1,1,1,1,0.2501607002845491,1.1172199964203238
114,16,ATTENTION,1,0,1,0,0,0,1,1,1,0.27851928376294693,1.2852131063914425
745,6,BOTH,0,0,0,1,1,1,0,0,0,0.27864433211692125,1.2844142984448899
942,5,ATTENTION,0,0,1,1,1,1,0,0,0,0.27784459711386017,1.2688236642441308
0,16,MLP,0,0,0,1,1,1,1,1,1,0.2785208443350772,1.2852764152502318
1032,5,BOTH,0,1,0,0,0,0,1,1,1,0.044043055096547185,0.015892860399717244
882,5,MLP,0,0,0,0,0,1,0,0,0,0.2785208443350772,1.2852764152502318
556,8,BOTH,0,0,0,1,1,1,1,1,1,0.27815321332023424,1.279290014746267
130,16,ATTENTION,0,0,0,1,0,0,0,0,0,0.2785208443350772,1.2852764152502318
223,16,BOTH,0,0,0,1,0,0,0,0,0,0.2785208443350772,1.2852764152502318
528,8,BOTH,1,1,1,0,0,0,0,0,0,0.27598077688809675,1.269533057921874
838,5,MLP,0,0,0,1,1,1,0,0,0,0.2785208443350772,1.2852764152502318
662,6,ATTENTION,0,0,1,1,1,1,1,1,1,0.2772981643605246,1.2759272420976968
818,6,BOTH,1,1,1,0,0,0,0,0,1,0.23370372743450804,0.9867535623225446
540,8,BOTH,0,0,0,1,1,1,0,0,1,0.27640679288518205,1.2727463470302414
973,5,ATTENTION,1,1,1,0,0,1,0,0,0,0.2467462912364597,1.069393423330704
731,6,ATTENTION,0,0,0,0,0,0,1,1,0,0.2785208443350772,1.2852764152502318
3,16,MLP,1,0,0,1,1,1,1,1,1,0.2785271331383665,1.2852207375047249
717,6,ATTENTION,1,1,1,0,0,0,1,0,0,0.2670303343691356,1.1889801617742006
700,6,ATTENTION,0,0,0,1,1,0,0,0,0,0.2790987667292941,1.2851829380622215
405,8,ATTENTION,0,0,0,0,0,0,1,1,1,0.2785208443350772,1.2852764152502318
555,8,BOTH,1,1,1,0,0,0,1,1,1,0.27472194569104263,1.2682233929175837
351,8,MLP,0,0,0,0,0,0,0,1,0,0.27885490286904485,1.283110499675077
1017,5,ATTENTION,0,0,0,1,1,1,0,1,1,0.2776623289642982,1.2825037584404828
66,16,MLP,1,1,1,0,0,0,1,0,0,0.27851928376294693,1.2852131063914425
328,8,MLP,0,0,0,1,1,0,0,0,0,0.2785208443350772,1.2852764152502318
524,8,BOTH,1,1,1,1,1,1,0,0,0,0.27571901571095014,1.267514579489813
237,16,BOTH,1,1,1,1,0,1,0,0,0,0.27851928376294693,1.2852131063914425
840,5,MLP,1,0,0,1,1,1,1,1,1,0.1509907853929716,0.2038944802191001
272,16,BOTH,1,1,1,0,0,0,0,1,1,0.2785208443350772,1.2852764152502318
39,16,MLP,1,1,1,0,1,0,0,0,0,0.27851928376294693,1.2852131063914425
858,5,MLP,1,0,1,0,0,0,1,1,1,0.0413944217460613,0.0226471227489734
